id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34909071,Historic East Nash Home 7 min 2 downtown Broadway,245370636,Dylan,,District 5,36.19265,-86.76328,Entire home/apt,90,1,3,2019-09-15,3,2,334
34933604,Studio - Blocks from Broadway and Bridgestone!,254350756,Kagee,,District 19,36.15388,-86.7759,Entire home/apt,199,1,26,2019-09-13,7.03,1,150
34934348,Spacious + Luxury Apt 1 Mile to Broadway (8 ppl)!,60934272,Travers,,District 6,36.17306,-86.76302,Entire home/apt,119,1,12,2019-09-06,3.64,21,335
34936222,Snuggle up!,263252914,Eboneé,,District 32,36.04488,-86.64984,Entire home/apt,50,1,9,2019-08-18,2.57,1,151
34938045,"Light-filled, Beautiful New Home in East Nashville",19601344,Brett,,District 5,36.18345,-86.75807,Entire home/apt,450,2,9,2019-09-08,3.25,1,150
34938326,Nashville Getaway - in the heart of Downtown,263267764,Emily,,District 19,36.15563,-86.77425,Entire home/apt,199,2,11,2019-09-13,3.17,1,47
34939826,Brand New 2 Bedroom Suite - FieldHouse Jones Hotel,263277659,FieldHouse,,District 6,36.17494,-86.75753,Hotel room,108,1,0,,,6,252
34941152,"Historic Woodbine/Nashville, minutes to downtown!",262866215,Steven,,District 16,36.12007,-86.73767,Entire home/apt,199,2,4,2019-09-01,1.03,1,142
34941987,Cozy Hillsboro Condo,6601535,Gabby,,District 18,36.13591,-86.80001,Entire home/apt,298,1,2,2019-07-14,0.64,1,11
34943422,Library Quiet on Music Row,205597402,Mark,,District 17,36.13814,-86.7926,Entire home/apt,89,2,27,2019-09-19,6.86,6,30
34948317,Airbnb’s Niido building,254573805,Ange,,District 19,36.15538,-86.77582,Entire home/apt,264,1,8,2019-08-08,2.24,1,291
34962040,Captain's Quarters Riverfront #3,119811037,James,,District 19,36.1754,-86.78064,Entire home/apt,114,2,24,2019-09-16,7.50,4,286
